








Frequency of observations in the selected location(s).:
Number of taxa: 	321

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	145.0	123.0	100.0	147.0	96.0	116.0	131.0	100.0	120.0	154.0	161.0	161.0	128.0	122.0	98.0	116.0	79.0	119.0	126.0	120.0	77.0	72.0	105.0	162.0	129.0	80.0	89.0	127.0	121.0	135.0	105.0	135.0	107.0	102.0	91.0	147.0	94.0	95.0	90.0	104.0	98.0	88.0	81.0	99.0	87.0	82.0	81.0	129.0	

Swan Goose (Domestic type) (<em class="sci">Anser cygnoides (Domestic type)</em>)	0.0015	0.0015	0.0	0.006802721088435374	0.0015	0.017241379310344827	0.007633587786259542	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose (<em class="sci">Anser brachyrhynchus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011111111111111112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	
Greylag Goose (<em class="sci">Anser anser</em>)	0.19310344827586207	0.25203252032520324	0.14	0.20408163265306123	0.22916666666666666	0.20689655172413793	0.2824427480916031	0.26	0.31666666666666665	0.2857142857142857	0.30434782608695654	0.2919254658385093	0.3359375	0.2459016393442623	0.23469387755102042	0.31896551724137934	0.3924050632911392	0.17647058823529413	0.20634920634920634	0.26666666666666666	0.22077922077922077	0.1527777777777778	0.1619047619047619	0.17901234567901234	0.15503875968992248	0.15	0.1348314606741573	0.16535433070866143	0.2231404958677686	0.2	0.1619047619047619	0.13333333333333333	0.205607476635514	0.19607843137254902	0.26373626373626374	0.1360544217687075	0.2553191489361702	0.3368421052631579	0.16666666666666666	0.17307692307692307	0.1836734693877551	0.2159090909090909	0.1111111111111111	0.15151515151515152	0.1724137931034483	0.0975609756097561	0.12345679012345678	0.15503875968992248	
Greylag Goose (Domestic type) (<em class="sci">Anser anser (Domestic type)</em>)	0.006896551724137931	0.008130081300813009	0.01	0.006802721088435374	0.0	0.008620689655172414	0.015267175572519083	0.01	0.016666666666666666	0.006493506493506494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008403361344537815	0.007936507936507936	0.008333333333333333	0.012987012987012988	0.027777777777777776	0.009523809523809525	0.006172839506172839	0.0	0.025	0.011235955056179775	0.0	0.01652892561983471	0.0	0.009523809523809525	0.02962962962962963	0.028037383177570093	0.0	0.0	0.006802721088435374	0.0	0.0	0.0	0.0	0.0	0.011363636363636364	0.024691358024691357	0.0	0.011494252873563218	0.012195121951219513	0.012345679012345678	0.015503875968992248	
Bar-headed Goose (<em class="sci">Anser indicus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006211180124223602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.008264462809917356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	0.006802721088435374	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ross's Goose (<em class="sci">Chen rossii</em>)	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
