








Frequency of observations in the selected location(s).:
Number of taxa: 	251

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	15.0	1.0	7.0	18.0	28.0	1.0	2.0	5.0	6.0	3.0	5.0	11.0	9.0	5.0	6.0	4.0	3.0	12.0	5.0	4.0	6.0	16.0	3.0	4.0	12.0	8.0	9.0	4.0	7.0	0.0	2.0	9.0	6.0	11.0	6.0	4.0	3.0	4.0	3.0	6.0	7.0	4.0	2.0	1.0	1.0	4.0	1.0	18.0	

Tundra Bean-Goose (<em class="sci">Anser serrirostris</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greylag Goose (<em class="sci">Anser anser</em>)	0.06666666666666667	0.0	0.14285714285714285	0.05555555555555555	0.14285714285714285	0.0	0.0015	0.0	0.16666666666666666	0.3333333333333333	0.0	0.2727272727272727	0.1111111111111111	0.2	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.16666666666666666	0.0625	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.16666666666666666	0.14285714285714285	0.25	0.0	0.0	0.0	0.5	0.0	0.05555555555555555	
Barnacle Goose (<em class="sci">Branta leucopsis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.0	0.0	0.0	0.05555555555555555	0.03571428571428571	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.5333333333333333	1.0	0.42857142857142855	0.3888888888888889	0.5	1.0	0.5	0.4	0.16666666666666666	1.0	0.4	0.5454545454545454	0.5555555555555556	0.4	0.16666666666666666	0.5	0.6666666666666666	0.4166666666666667	0.4	0.5	0.16666666666666666	0.25	0.0015	1.0	0.5	0.25	0.3333333333333333	0.75	0.42857142857142855	0.0015	0.5	0.0	0.0	0.09090909090909091	0.3333333333333333	0.5	0.0	0.25	0.0015	0.5	0.5714285714285714	0.5	0.5	0.0	0.0	0.5	0.0	0.5555555555555556	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Whooper Swan (<em class="sci">Cygnus cygnus</em>)	0.06666666666666667	0.0	0.14285714285714285	0.0015	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Egyptian Goose (<em class="sci">Alopochen aegyptiaca</em>)	0.26666666666666666	0.0	0.42857142857142855	0.3333333333333333	0.17857142857142858	0.0	0.0	0.0	0.0	0.0	0.2	0.09090909090909091	0.0	0.2	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.25	0.16666666666666666	0.0	0.0	0.25	0.14285714285714285	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.16666666666666666	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	
Ruddy Shelduck (<em class="sci">Tadorna ferruginea</em>)	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Shelduck (<em class="sci">Tadorna tadorna</em>)	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	
Mandarin Duck (<em class="sci">Aix galericulata</em>)	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gadwall (<em class="sci">Anas strepera</em>)	0.2	1.0	0.42857142857142855	0.2222222222222222	0.4642857142857143	0.0	0.0	0.0	0.0	0.3333333333333333	0.0015	0.2727272727272727	0.3333333333333333	0.0	0.16666666666666666	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.7142857142857143	0.25	0.0	0.0	0.0	0.5	0.0	0.2222222222222222	
Eurasian Wigeon (<em class="sci">Anas penelope</em>)	0.06666666666666667	0.0	0.42857142857142855	0.16666666666666666	0.25	0.0	0.0	0.0	0.16666666666666666	0.3333333333333333	0.0015	0.09090909090909091	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.14285714285714285	0.25	0.0	0.0	0.0	0.25	0.0	0.2222222222222222	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.6666666666666666	1.0	0.2857142857142857	0.5555555555555556	0.7142857142857143	1.0	0.0	0.4	0.16666666666666666	1.0	0.4	0.6363636363636364	0.8888888888888888	0.8	0.6666666666666666	0.25	0.6666666666666666	0.3333333333333333	0.4	0.75	0.3333333333333333	0.375	0.0	1.0	0.5	0.125	0.5555555555555556	0.5	0.2857142857142857	0.0	0.5	0.1111111111111111	0.16666666666666666	0.45454545454545453	0.3333333333333333	0.75	0.0	0.5	0.3333333333333333	0.5	0.8571428571428571	0.5	1.0	0.0	0.0	0.5	0.0	0.5	
Mallard (Domestic type) (<em class="sci">Anas platyrhynchos (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Anas clypeata</em>)	0.06666666666666667	0.0	0.2857142857142857	0.0	0.03571428571428571	0.0	0.0015	0.0	0.0	0.6666666666666666	0.0	0.09090909090909091	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Pintail (<em class="sci">Anas acuta</em>)	0.13333333333333333	0.0	0.14285714285714285	0.1111111111111111	0.10714285714285714	0.0	0.0015	0.0	0.16666666666666666	0.3333333333333333	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	
Garganey (<em class="sci">Anas querquedula</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0015	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian/American Green-winged Teal (<em class="sci">Anas crecca</em>)	0.26666666666666666	0.0	0.14285714285714285	0.2777777777777778	0.35714285714285715	0.0	0.0	0.2	0.16666666666666666	0.3333333333333333	0.0	0.2727272727272727	0.4444444444444444	0.4	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.25	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.16666666666666666	0.0	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.7142857142857143	0.25	0.0	0.0	0.0	0.5	0.0	0.16666666666666666	
Red-crested Pochard (<em class="sci">Netta rufina</em>)	0.06666666666666667	0.0	0.0	0.0015	0.10714285714285714	0.0	0.0	0.0	0.16666666666666666	0.3333333333333333	0.0	0.09090909090909091	0.0	0.0	0.16666666666666666	0.0	0.0015	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Pochard (<em class="sci">Aythya ferina</em>)	0.5333333333333333	1.0	0.42857142857142855	0.16666666666666666	0.39285714285714285	1.0	0.0015	0.0	0.0	0.3333333333333333	0.0	0.09090909090909091	0.2222222222222222	0.2	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.16666666666666666	0.2857142857142857	0.25	0.5	0.0	0.0	0.5	0.0	0.3333333333333333	
Ring-necked Duck (<em class="sci">Aythya collaris</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ferruginous Duck (<em class="sci">Aythya nyroca</em>)	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	
Tufted Duck (<em class="sci">Aythya fuligula</em>)	0.5333333333333333	1.0	0.7142857142857143	0.2222222222222222	0.6071428571428571	1.0	0.0015	0.0	0.16666666666666666	0.3333333333333333	0.2	0.36363636363636365	0.4444444444444444	0.4	0.3333333333333333	0.0	0.0	0.08333333333333333	0.0	0.0015	0.3333333333333333	0.125	0.0	1.0	0.16666666666666666	0.0	0.1111111111111111	0.5	0.2857142857142857	0.0	0.5	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.16666666666666666	0.2857142857142857	0.25	1.0	0.0	0.0	0.25	0.0	0.3888888888888889	
Common Pochard x Tufted Duck (hybrid) (<em class="sci">Aythya ferina x fuligula</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater Scaup (<em class="sci">Aythya marila</em>)	0.06666666666666667	1.0	0.2857142857142857	0.05555555555555555	0.07142857142857142	0.0	0.0	0.0	0.16666666666666666	0.3333333333333333	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	
Common Eider (<em class="sci">Somateria mollissima</em>)	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	
