Scientific name,Scientific name modif,English,Chinese,Chinese (Traditional),Czech,Danish,Dutch,Estonian,Finnish,French,French_modif,German,Hungarian,Italian,Japanese,Lithuanian,Norwegian,Polish,Portuguese,Russian,Slovak,Spanish,Swedish
Tinamus tao,Tinamus tao,Grey Tinamou,?(??),?(??),tinama tao,Gr? Tinamu,Grijze Tinamoe,halltinamu,harmaatinami,Tinamou tao,Tinamou tao,Taotinamu,szürke tinamu,Tinamo grigio,??????????,?ilasis tinamas,Taotinamu,kusacz szary,Azulona,???,tinama sivá,Tinamú tao,gr? tinamo
Tinamus solitarius,Tinamus solitarius,Solitary Tinamou,?(??),?(??),tinama samotá?ská,Olivengr? Tinamu,Kluizenaarstinamoe,eraktinamu,erakkotinami,Tinamou solitaire,Tinamou solitaire,Grausteißtinamu,remetetinamu,Tinamo solitario,????????,Tinamas atsiskyr?lis,Eremittinamu,kusacz samotny,Macuco,??????-?????????,tinama samotárska,Tinamú macuco,solitärtinamo
Tinamus osgoodi,Tinamus osgoodi,Black Tinamou,?(??),?(??),tinama ?erná,Gr?sort Tinamu,Zwarte Tinamoe,musttinamu,mustatinami,Tinamou noir,Tinamou noir,Schwarztinamu,fekete tinamu,Tinamo nero,????????,Juodasis tinamas,Svarttinamu,kusacz czarny,Macuco-preto,?????? ??????,tinama ?ierna,Tinamú negro,svart tinamo
Tinamus major,Tinamus major,Great Tinamou,?(??),?(??)?,tinama v?t?í,Stor Tinamu,Grote Tinamoe,suurtinamu,isotinami,Grand Tinamou,Grand Tinamou,Großtinamu,nagy tinamu,Tinamo grosso,????????,Didysis tinamas,Stortinamu,kusacz du¿y,Inhambu-de-cabeça-vermelha,??????? ??????,tinama ve?ká,Tinamú oliváceo,större tinamo
Tinamus guttatus,Tinamus guttatus,White-throated Tinamou,??(??),??(??)?,tinama te?kovaná,Gr?isset Tinamu,Witkeeltinamoe,helmestinamu,helmitinami,Tinamou à gorge blanche,Tinamou à gorge blanche,Weißkehltinamu,fehértorkú tinamu,Tinamo golabianca,??????????,Baltagurklis tinamas,Perletinamu,kusacz kropkowany,Inhambu-galinha,?????????? ??????,tinama bielohrdlá,Tinamú moteado,vitstrupig tinamo
Nothocercus bonapartei,Nothocercus bonapartei,Highland Tinamou,???(??),???(??)?,tinama horská,Bjergskovstinamu,Bergtinamoe,bambusetinamu,vuoritinami,Tinamou de Bonaparte,Tinamou de Bonaparte,Bergtinamu,Bonaparte-tinamu,Tinamo delle alture,?????????,Bonaparto notocerkas,Bambustinamu,kusacz górski,Inhambu-serrano,?????? ??????????,tinama horská,Tinamú serrano,höglandstinamo
Nothocercus julius,Nothocercus julius,Tawny-breasted Tinamou,???(??),???(??)?,tinama bronzovoprsá,R?dhovedet Tinamu,Roodkoptinamoe,välutinamu,keltarintatinami,Tinamou à tête rousse,Tinamou à tête rousse,Gelbbrusttinamu,0,Tinamo pettofulvo,??????????,Juliaus notocerkas,Brunbrysttinamu,kusacz rdzawog?owy,Inhambu-de-peito-pardo,??????????? ??????????,tinama pralesná,Tinamú cabecirrojo,brunbröstad tinamo
Nothocercus nigrocapillus,Nothocercus nigrocapillus,Hooded Tinamou,???(??),??(??)?,tinama tmavohlavá,H?ttetinamu,Zwartkaptinamoe,karbustinamu,hupputinami,Tinamou à capuchon,Tinamou à capuchon,Kapuzentinamu,0,Tinamo monaco,?????????,Tamsiagalvis notocerkas,Blyhettetinamu,kusacz ciemnog?owy,Inhambu-de-capuz,????????????? ??????????,tinama kapuc?ová,Tinamú cabecinegro,kamtinamo
Crypturellus berlepschi,Crypturellus berlepschi,Berlepsch's Tinamou,???(??),????(??),tinama Berlepschova,Sorttinamu,Berlepsch' Tinamoe,n?gi-metstinamu,nokitinami,Tinamou de Berlepsch,Tinamou de Berlepsch,Berlepschtinamu,Berlepsch-tinamu,Tinamo di Berlepsch,??????????,Berlep?o tinamas,Sottinamu,kusacz brunatny,Inhambu-tiç?o,????????? ????????????,tinama sadzová,Tinamú tizón,sottinamo
Crypturellus cinereus,Crypturellus cinereus,Cinereous Tinamou,??(??),??(??)?,tinama podrostní,Asketinamu,Grauwe Tinamoe,t?mmu-metstinamu,punapäätinami,Tinamou cendré,Tinamou cendré,Grautinamu,0,Tinamo cenerino,????????,Peleninis tinamas,Gr?tinamu,kusacz popielaty,Inhambu-preto,????? ????????????,tinama popolavá,Tinamú sombrío,askgr? tinamo
