








Frequency of observations in the selected location(s).:
Number of taxa: 	527

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	249.0	203.0	189.0	236.0	199.0	223.0	189.0	216.0	191.0	264.0	299.0	383.0	386.0	364.0	420.0	512.0	491.0	578.0	377.0	634.0	461.0	477.0	405.0	428.0	352.0	421.0	306.0	452.0	328.0	318.0	319.0	478.0	319.0	329.0	264.0	366.0	192.0	221.0	187.0	235.0	175.0	207.0	189.0	256.0	123.0	170.0	173.0	354.0	

Swan Goose (Domestic type) (<em class="sci">Anser cygnoides (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002824858757062147	
Taiga Bean-Goose (<em class="sci">Anser fabalis</em>)	0.0015	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.0015	0.005235602094240838	0.0015	0.0033444816053511705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005208333333333333	0.0	0.0	0.0015	0.0	0.0015	0.0	0.00390625	0.0	0.0	0.0	0.0	
Tundra Bean-Goose (<em class="sci">Anser serrirostris</em>)	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00273224043715847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00847457627118644	
Taiga/Tundra Bean-Goose (<em class="sci">Anser fabalis/serrirostris</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.005291005291005291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose (<em class="sci">Anser brachyrhynchus</em>)	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.005291005291005291	0.00390625	0.0	0.0015	0.0015	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.012048192771084338	0.0015	0.010582010582010581	0.00847457627118644	0.0015	0.0015	0.015873015873015872	0.0015	0.005235602094240838	0.0015	0.0	0.0	0.0	0.0027472527472527475	0.0	0.0015	0.0	0.0	0.0015	0.0015772870662460567	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031446540880503146	0.003134796238244514	0.0	0.003134796238244514	0.0	0.0	0.00273224043715847	0.0	0.004524886877828055	0.0	0.0	0.005714285714285714	0.0	0.015873015873015872	0.01171875	0.008130081300813009	0.0058823529411764705	0.005780346820809248	0.002824858757062147	
Greylag Goose (<em class="sci">Anser anser</em>)	0.05220883534136546	0.04926108374384237	0.026455026455026454	0.0635593220338983	0.06030150753768844	0.026905829596412557	0.06349206349206349	0.013888888888888888	0.041884816753926704	0.01893939393939394	0.0033444816053511705	0.013054830287206266	0.023316062176165803	0.016483516483516484	0.01904761904761905	0.005859375	0.010183299389002037	0.010380622837370242	0.013262599469496022	0.007886435331230283	0.019522776572668113	0.0041928721174004195	0.009876543209876543	0.011682242990654205	0.017045454545454544	0.0023752969121140144	0.0196078431372549	0.00663716814159292	0.01524390243902439	0.018867924528301886	0.018808777429467086	0.014644351464435146	0.0219435736677116	0.0121580547112462	0.015151515151515152	0.01366120218579235	0.020833333333333332	0.013574660633484163	0.0427807486631016	0.06808510638297872	0.06285714285714286	0.07729468599033816	0.07936507936507936	0.078125	0.04065040650406504	0.07058823529411765	0.057803468208092484	0.05084745762711865	
Greylag Goose (Domestic type) (<em class="sci">Anser anser (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.005025125628140704	0.0	0.0	0.0	0.0	0.0	0.0	0.0026109660574412533	0.0025906735751295338	0.0	0.0	0.0	0.0	0.0	0.002652519893899204	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003134796238244514	0.0	0.0	0.0	0.0	0.0	0.005208333333333333	0.004524886877828055	0.0	0.00425531914893617	0.0	0.0	0.0	0.0	0.0	0.0058823529411764705	0.0	0.0	
Snow Goose (<em class="sci">Chen caerulescens</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.004830917874396135	0.0	0.0	0.0	0.0	0.0	0.0	
Brent Goose (<em class="sci">Branta bernicla</em>)	0.024096385542168676	0.0049261083743842365	0.021164021164021163	0.038135593220338986	0.010050251256281407	0.02242152466367713	0.05291005291005291	0.06944444444444445	0.031413612565445025	0.007575757575757576	0.0033444816053511705	0.02610966057441253	0.012953367875647668	0.0	0.002380952380952381	0.001953125	0.002036659877800407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004750593824228029	0.0032679738562091504	0.0015	0.0	0.0031446540880503146	0.003134796238244514	0.0015	0.0	0.00303951367781155	0.026515151515151516	0.03825136612021858	0.08333333333333333	0.09954751131221719	0.06417112299465241	0.12340425531914893	0.18285714285714286	0.12560386473429952	0.09523809523809523	0.0703125	0.06504065040650407	0.052941176470588235	0.04046242774566474	0.096045197740113	
Barnacle Goose (<em class="sci">Branta leucopsis</em>)	0.004016064257028112	0.0049261083743842365	0.021164021164021163	0.0015	0.0015	0.013452914798206279	0.015873015873015872	0.004629629629629629	0.0	0.003787878787878788	0.0033444816053511705	0.007832898172323759	0.010362694300518135	0.0	0.0015	0.001953125	0.006109979633401222	0.0017301038062283738	0.0015	0.0031545741324921135	0.004338394793926247	0.0015	0.0015	0.002336448598130841	0.0	0.0	0.0032679738562091504	0.0	0.003048780487804878	0.006289308176100629	0.0	0.0020920502092050207	0.0	0.0	0.003787878787878788	0.00546448087431694	0.0	0.004524886877828055	0.0106951871657754	0.00851063829787234	0.0015	0.014492753623188406	0.015873015873015872	0.02734375	0.016260162601626018	0.01764705882352941	0.011560693641618497	0.00847457627118644	
