








Frequency of observations in the selected location(s).:
Number of taxa: 	329

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	434.0	332.0	318.0	421.0	352.0	346.0	341.0	384.0	341.0	383.0	410.0	768.0	714.0	737.0	870.0	1018.0	659.0	604.0	559.0	867.0	455.0	426.0	437.0	510.0	410.0	403.0	400.0	492.0	351.0	279.0	323.0	447.0	412.0	483.0	352.0	513.0	493.0	548.0	519.0	525.0	408.0	403.0	395.0	403.0	364.0	298.0	357.0	487.0	

Tundra Bean-Goose (<em class="sci">Anser serrirostris</em>)	0.0	0.0	0.0	0.0	0.014204545454545454	0.014450867052023121	0.008797653958944282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.823182711198428E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose (<em class="sci">Anser brachyrhynchus</em>)	0.01152073732718894	0.0015	0.0	0.0015	0.002840909090909091	0.005780346820809248	0.0	0.0026041666666666665	0.0	0.0026109660574412533	0.0	0.024739583333333332	0.018207282913165267	0.07191316146540028	0.12413793103448276	0.15225933202357564	0.1062215477996965	0.09271523178807947	0.1001788908765653	0.08419838523644751	0.03956043956043956	0.02112676056338028	0.057208237986270026	0.052941176470588235	0.03414634146341464	0.02729528535980149	0.02	0.018292682926829267	0.0015	0.0035842293906810036	0.006191950464396285	0.008948545861297539	0.019417475728155338	0.043478260869565216	0.036931818181818184	0.03898635477582846	0.038539553752535496	0.023722627737226276	0.01348747591522158	0.007619047619047619	0.004901960784313725	0.009925558312655087	0.0	0.01240694789081886	0.0027472527472527475	0.0	0.0028011204481792717	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.002304147465437788	0.0	0.0	0.0015	0.014204545454545454	0.02023121387283237	0.008797653958944282	0.0	0.0	0.0	0.0	0.0078125	0.011204481792717087	0.013568521031207599	0.014942528735632184	0.0068762278978389	0.004552352048558422	0.0016556291390728477	0.0035778175313059034	0.0034602076124567475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024271844660194173	0.008281573498964804	0.017045454545454544	0.005847953216374269	0.004056795131845842	0.005474452554744526	0.009633911368015413	0.0038095238095238095	0.0024509803921568627	0.0024813895781637717	0.0	0.0	0.0027472527472527475	0.0	0.0	0.0	
Greylag Goose (<em class="sci">Anser anser</em>)	0.0967741935483871	0.045180722891566265	0.06289308176100629	0.0498812351543943	0.045454545454545456	0.046242774566473986	0.05865102639296188	0.06510416666666667	0.05571847507331378	0.04960835509138381	0.07073170731707316	0.17317708333333334	0.27450980392156865	0.37991858887381275	0.4896551724137931	0.49410609037328096	0.48710166919575115	0.48344370860927155	0.49552772808586765	0.4798154555940023	0.4153846153846154	0.3568075117370892	0.35697940503432496	0.2803921568627451	0.17317073170731706	0.16129032258064516	0.15	0.15447154471544716	0.1737891737891738	0.2078853046594982	0.1826625386996904	0.24608501118568232	0.26941747572815533	0.29606625258799174	0.2528409090909091	0.2709551656920078	0.2616632860040568	0.2208029197080292	0.21579961464354527	0.15047619047619049	0.08823529411764706	0.07692307692307693	0.08860759493670886	0.06699751861042183	0.03021978021978022	0.040268456375838924	0.06442577030812324	0.053388090349075976	
Bar-headed Goose (<em class="sci">Anser indicus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00196078431372549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose (<em class="sci">Chen caerulescens</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001949317738791423	0.006085192697768763	0.0015	0.0	0.0	0.0	0.0024813895781637717	0.0	0.0	0.0	0.0	0.0	0.0	
Ross's Goose (<em class="sci">Chen rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019267822736030828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brent Goose (<em class="sci">Branta bernicla</em>)	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0026041666666666665	0.0	0.0	0.0024390243902439024	0.0013020833333333333	0.0070028011204481795	0.023066485753052916	0.04367816091954023	0.036345776031434185	0.0409711684370258	0.04304635761589404	0.06440071556350627	0.01384083044982699	0.01098901098901099	0.007042253521126761	0.0	0.00196078431372549	0.004878048780487805	0.0	0.0	0.006097560975609756	0.0	0.0	0.0015	0.015659955257270694	0.02669902912621359	0.045548654244306416	0.036931818181818184	0.03313840155945419	0.018255578093306288	0.010948905109489052	0.01348747591522158	0.0038095238095238095	0.0024509803921568627	0.004962779156327543	0.0	0.0024813895781637717	0.005494505494505495	0.0	0.0028011204481792717	0.0	
