








Frequency of observations in the selected location(s).:
Number of taxa: 	402

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	22.0	27.0	23.0	28.0	36.0	37.0	14.0	24.0	27.0	52.0	66.0	53.0	67.0	69.0	104.0	105.0	115.0	56.0	57.0	146.0	105.0	58.0	84.0	92.0	64.0	83.0	36.0	59.0	62.0	56.0	57.0	77.0	71.0	28.0	34.0	38.0	29.0	36.0	27.0	36.0	17.0	33.0	43.0	43.0	25.0	23.0	29.0	50.0	

Taiga Bean-Goose (<em class="sci">Anser fabalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015151515151515152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017857142857142856	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greylag Goose (<em class="sci">Anser anser</em>)	0.0	0.1111111111111111	0.043478260869565216	0.07142857142857142	0.08333333333333333	0.0015	0.0015	0.0	0.0	0.0	0.015151515151515152	0.0015	0.0015	0.043478260869565216	0.038461538461538464	0.0	0.008695652173913044	0.05357142857142857	0.017543859649122806	0.00684931506849315	0.0380952380952381	0.0	0.011904761904761904	0.010869565217391304	0.03125	0.0	0.0	0.01694915254237288	0.016129032258064516	0.0	0.0	0.012987012987012988	0.04225352112676056	0.0015	0.029411764705882353	0.05263157894736842	0.0	0.0	0.037037037037037035	0.05555555555555555	0.0	0.030303030303030304	0.023255813953488372	0.06976744186046512	0.04	0.21739130434782608	0.06896551724137931	0.04	
Greylag Goose (Domestic type) (<em class="sci">Anser anser (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017543859649122806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038461538461538464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009523809523809525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anser/Chen/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.045454545454545456	0.14814814814814814	0.13043478260869565	0.10714285714285714	0.3333333333333333	0.10810810810810811	0.14285714285714285	0.0	0.18518518518518517	0.15384615384615385	0.07575757575757576	0.07547169811320754	0.16417910447761194	0.08695652173913043	0.125	0.047619047619047616	0.043478260869565216	0.16071428571428573	0.12280701754385964	0.1095890410958904	0.13333333333333333	0.034482758620689655	0.14285714285714285	0.043478260869565216	0.078125	0.08433734939759036	0.1111111111111111	0.05084745762711865	0.04838709677419355	0.08928571428571429	0.12280701754385964	0.07792207792207792	0.18309859154929578	0.17857142857142858	0.11764705882352941	0.13157894736842105	0.10344827586206896	0.0	0.07407407407407407	0.1111111111111111	0.0015	0.030303030303030304	0.06976744186046512	0.11627906976744186	0.04	0.2608695652173913	0.10344827586206896	0.06	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04477611940298507	0.0	0.009615384615384616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
