








Frequency of observations in the selected location(s).:
Number of taxa: 	558

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3842.0	3066.0	2902.0	3937.0	2898.0	2494.0	3235.0	1824.0	2048.0	2219.0	2354.0	3692.0	3319.0	3708.0	4226.0	4759.0	4184.0	4400.0	4575.0	5408.0	3138.0	2807.0	2738.0	3376.0	2340.0	2128.0	2007.0	2947.0	2170.0	2156.0	2483.0	3544.0	2611.0	2411.0	2531.0	3251.0	2552.0	2768.0	2617.0	3514.0	2483.0	2428.0	2393.0	2744.0	3642.0	2718.0	2601.0	3828.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1867431485022306E-4	0.0	0.0	0.0	4.2735042735042735E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck (<em class="sci">Dendrocygna bicolor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012536564981195152	7.288629737609329E-4	0.0	0.0	0.0	0.0	
Tundra Bean-Goose (<em class="sci">Anser serrirostris</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose (<em class="sci">Anser brachyrhynchus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.248088360237893E-4	0.0010834236186348862	0.0	0.0	2.36630383341221E-4	6.303845345660853E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	7.642338555598013E-4	2.845759817871372E-4	4.027386226339106E-4	8.237232289950577E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	5.205622071837585E-4	3.2615786040443573E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.506534474988734E-4	0.002973661852166525	0.0027085590465872156	0.0021090689966857487	0.005393743257820928	0.003076194983435873	0.0035721790292078167	2.390057361376673E-4	6.818181818181819E-4	2.185792349726776E-4	3.698224852071006E-4	0.0	3.562522265764161E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.001244296972210701	0.001185302252074279	0.00492156259612427	0.001959247648902821	0.00541907514450867	0.00573175391669851	0.007398975526465566	0.002013693113169553	0.0037067545304777594	0.0058503969912244045	0.002186588921282799	0.0019220208676551346	0.0014716703458425313	3.8446751249519417E-4	2.6123301985370953E-4	
Greylag Goose (<em class="sci">Anser anser</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029251984956122023	0.0	2.745744096650192E-4	0.0	0.0	0.0	
Snow Goose (<em class="sci">Chen caerulescens</em>)	0.0018219677251431546	0.001304631441617743	0.0017229496898690559	0.001524003048006096	3.450655624568668E-4	8.019246190858059E-4	0.0	0.0	0.0048828125	0.018026137899954935	0.034409515717926935	0.06879739978331528	0.09219644471226272	0.12243797195253506	0.12707051585423568	0.12208447152763185	0.10779158699808795	0.09227272727272727	0.07562841530054645	0.04770710059171598	0.025493945188017845	0.017812611328820806	0.015339663988312637	0.01066350710900474	0.009829059829059829	0.009398496240601503	0.013452914798206279	0.007804546996946046	0.012442396313364055	0.013914656771799629	0.02899718082964156	0.03244920993227991	0.03255457679050172	0.044379925342181666	0.0691426313709996	0.08920332205475238	0.10658307210031348	0.1531791907514451	0.1295376385173863	0.12578258394991462	0.1026983487716472	0.09925864909390444	0.07981613038027581	0.06669096209912537	0.05299286106534871	0.01545253863134658	0.012687427912341407	0.004440961337513062	
Greater White-fronted x Snow Goose (hybrid) (<em class="sci">Anser albifrons x Chen caerulescens</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.745744096650192E-4	0.0	0.0	0.0	
