








Frequency of observations in the selected location(s).:
Number of taxa: 	386

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	88.0	61.0	69.0	106.0	65.0	72.0	71.0	62.0	39.0	71.0	77.0	148.0	101.0	85.0	100.0	145.0	93.0	75.0	82.0	104.0	60.0	60.0	65.0	96.0	98.0	85.0	97.0	104.0	76.0	76.0	79.0	147.0	98.0	132.0	98.0	115.0	85.0	65.0	80.0	106.0	52.0	59.0	64.0	66.0	51.0	59.0	50.0	113.0	

Taiga Bean-Goose (<em class="sci">Anser fabalis</em>)	0.0	0.0	0.014492753623188406	0.0	0.0	0.013888888888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Bean-Goose (<em class="sci">Anser serrirostris</em>)	0.0015	0.0015	0.0015	0.0015	0.0015	0.0	0.0	0.04838709677419355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009433962264150943	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
Taiga/Tundra Bean-Goose (<em class="sci">Anser fabalis/serrirostris</em>)	0.0	0.01639344262295082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose (<em class="sci">Anser brachyrhynchus</em>)	0.0	0.0	0.014492753623188406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.011363636363636364	0.0	0.028985507246376812	0.0	0.07692307692307693	0.041666666666666664	0.014084507042253521	0.06451612903225806	0.05128205128205128	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009433962264150943	0.0	0.01694915254237288	0.0	0.015151515151515152	0.0196078431372549	0.0	0.02	0.0	
Lesser White-fronted Goose (<em class="sci">Anser erythropus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greylag Goose (<em class="sci">Anser anser</em>)	0.045454545454545456	0.06557377049180328	0.11594202898550725	0.02830188679245283	0.15384615384615385	0.1111111111111111	0.11267605633802817	0.0967741935483871	0.07692307692307693	0.15492957746478872	0.12987012987012986	0.07432432432432433	0.04950495049504951	0.07058823529411765	0.11	0.08275862068965517	0.15053763440860216	0.02666666666666667	0.06097560975609756	0.04807692307692308	0.08333333333333333	0.03333333333333333	0.015384615384615385	0.052083333333333336	0.030612244897959183	0.023529411764705882	0.05154639175257732	0.038461538461538464	0.039473684210526314	0.039473684210526314	0.0015	0.047619047619047616	0.061224489795918366	0.05303030303030303	0.061224489795918366	0.06956521739130435	0.07058823529411765	0.07692307692307693	0.125	0.14150943396226415	0.17307692307692307	0.1016949152542373	0.078125	0.09090909090909091	0.058823529411764705	0.03389830508474576	0.04	0.07964601769911504	
Greylag Goose (Domestic type) (<em class="sci">Anser anser (Domestic type)</em>)	0.011363636363636364	0.0	0.014492753623188406	0.0	0.0	0.0	0.028169014084507043	0.0	0.05128205128205128	0.014084507042253521	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.010752688172043012	0.0	0.0	0.009615384615384616	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.0	0.0	0.0	0.0	0.01020408163265306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
