








Frequency of observations in the selected location(s).:
Number of taxa: 	292

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	17.0	20.0	10.0	20.0	16.0	23.0	17.0	12.0	19.0	21.0	14.0	9.0	11.0	13.0	9.0	34.0	21.0	20.0	15.0	31.0	15.0	13.0	21.0	20.0	27.0	33.0	28.0	19.0	24.0	13.0	8.0	27.0	19.0	26.0	13.0	28.0	18.0	20.0	20.0	16.0	5.0	1.0	10.0	14.0	14.0	6.0	19.0	16.0	

Taiga Bean-Goose (<em class="sci">Anser fabalis</em>)	0.0	0.0	0.1	0.0	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Bean-Goose (<em class="sci">Anser serrirostris</em>)	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Taiga/Tundra Bean-Goose (<em class="sci">Anser fabalis/serrirostris</em>)	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose (<em class="sci">Anser brachyrhynchus</em>)	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0	0.1	0.0	0.0	0.043478260869565216	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	
Greylag Goose (<em class="sci">Anser anser</em>)	0.0	0.15	0.1	0.0	0.0	0.08695652173913043	0.0	0.08333333333333333	0.10526315789473684	0.0	0.07142857142857142	0.0	0.0	0.07692307692307693	0.3333333333333333	0.17647058823529413	0.14285714285714285	0.05	0.0	0.03225806451612903	0.06666666666666667	0.07692307692307693	0.0	0.0	0.0	0.0	0.03571428571428571	0.05263157894736842	0.08333333333333333	0.15384615384615385	0.0	0.037037037037037035	0.10526315789473684	0.07692307692307693	0.15384615384615385	0.03571428571428571	0.16666666666666666	0.05	0.05	0.0	0.0	0.0	0.1	0.07142857142857142	0.07142857142857142	0.0	0.05263157894736842	0.125	
Greylag Goose (Domestic type) (<em class="sci">Anser anser (Domestic type)</em>)	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Barnacle Goose (<em class="sci">Branta leucopsis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anser/Chen/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
