








Frequency of observations in the selected location(s).:
Number of taxa: 	697

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3569.0	2127.0	1993.0	2352.0	1674.0	1592.0	1801.0	1672.0	1793.0	1761.0	1844.0	2417.0	1893.0	2017.0	2087.0	2548.0	2361.0	2238.0	2048.0	2705.0	1713.0	1610.0	1598.0	2173.0	1917.0	1672.0	1787.0	2537.0	1713.0	1709.0	1849.0	2472.0	1894.0	1829.0	1630.0	2016.0	1605.0	1768.0	1827.0	2032.0	1240.0	1181.0	1167.0	1457.0	1115.0	1023.0	1030.0	2227.0	

White-faced Whistling-Duck (<em class="sci">Dendrocygna viduata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Swan Goose (<em class="sci">Anser cygnoides</em>)	0.0	4.701457451810061E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.791566842357451E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.601932811780948E-4	0.0	0.0	5.595970900951316E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.863417982155113E-4	0.0	0.0	0.0	0.0	
Swan Goose (Domestic type) (<em class="sci">Anser cygnoides (Domestic type)</em>)	0.0015	0.0015	0.0	4.2517006802721087E-4	0.0015	0.001256281407035176	5.55247084952804E-4	0.0	0.0	0.0015	0.0	0.0	0.0015	4.957858205255329E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	5.216484089723526E-4	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	
Taiga Bean-Goose (<em class="sci">Anser fabalis</em>)	0.0025217147660409078	0.0023507287259050304	0.0030105368790767687	0.002551020408163265	0.0023894862604540022	0.00314070351758794	0.003886729594669628	0.0023923444976076554	0.0011154489682097045	0.0	5.422993492407809E-4	8.274720728175424E-4	5.282620179609086E-4	4.957858205255329E-4	0.0	0.0011773940345368916	0.0	0.0015	9.765625E-4	3.696857670979667E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.134969325153375E-4	0.0	0.0	0.0	0.0010946907498631637	0.0015	0.0016129032258064516	0.001693480101608806	0.001713796058269066	0.0015	0.0017937219730941704	0.0019550342130987292	9.70873786407767E-4	0.003143242029636282	
Tundra Bean-Goose (<em class="sci">Anser serrirostris</em>)	0.0025217147660409078	0.0018805829807240243	0.005017561465127948	0.002976190476190476	0.002986857825567503	0.00314070351758794	0.00277623542476402	0.0023923444976076554	0.0039040713887339654	5.678591709256105E-4	0.0010845986984815619	4.137360364087712E-4	5.282620179609086E-4	0.0	0.0	0.0	4.2354934349851756E-4	0.0	0.0	0.0	5.837711617046118E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	8.46740050804403E-4	0.002570694087403599	0.0013726835964310226	0.0	0.002932551319648094	0.001941747572815534	0.002694207453973956	
Taiga/Tundra Bean-Goose (<em class="sci">Anser fabalis/serrirostris</em>)	0.0	0.0015	0.0	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose (<em class="sci">Anser brachyrhynchus</em>)	0.02998038666293079	0.03902209685002351	0.03161063723030607	0.026785714285714284	0.03046594982078853	0.02701005025125628	0.026651860077734593	0.02751196172248804	0.03067484662576687	0.019307211811470756	0.016268980477223426	0.01365328920148945	0.013734812466983624	0.014377788795240456	0.008624820316243412	0.00706436420722135	0.009741634900465904	0.005361930294906166	0.00390625	0.0022181146025878	0.0011675423234092236	0.0015	0.0018773466833541927	4.601932811780948E-4	5.216484089723526E-4	0.0	5.595970900951316E-4	0.0011824990145841545	5.837711617046118E-4	0.0017554125219426564	5.408328826392645E-4	0.0020226537216828477	0.0010559662090813093	0.006014215418261345	0.024539877300613498	0.03869047619047619	0.04361370716510903	0.028846153846153848	0.04433497536945813	0.031003937007874016	0.04596774193548387	0.024555461473327687	0.018851756640959727	0.028826355525051476	0.028699551569506727	0.03128054740957967	0.02330097087378641	0.03412662775033678	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.017932193891846457	0.01692524682651622	0.018564977420973405	0.01445578231292517	0.013142174432497013	0.016959798994974875	0.02498611882287618	0.02452153110047847	0.011712214166201896	0.007950028392958546	0.009761388286334056	0.0028961522548613984	0.002641310089804543	0.0039662865642042635	4.791566842357451E-4	0.0031397174254317113	0.0033883947479881405	8.936550491510277E-4	9.765625E-4	7.393715341959334E-4	0.0017513134851138354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	5.851375073142189E-4	0.0	8.090614886731392E-4	0.0	0.0	6.134969325153375E-4	9.92063492063492E-4	6.230529595015577E-4	0.0016968325791855204	0.002736726874657909	0.0044291338582677165	0.004032258064516129	0.005080440304826418	0.011139674378748929	0.008236101578586136	0.012556053811659192	0.019550342130987292	0.006796116504854369	0.02020655590480467	
