








Frequency of observations in the selected location(s).:
Number of taxa: 	160

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	6.0	7.0	6.0	5.0	5.0	3.0	8.0	3.0	8.0	9.0	11.0	11.0	5.0	9.0	8.0	9.0	8.0	4.0	5.0	7.0	5.0	1.0	5.0	5.0	9.0	2.0	8.0	6.0	5.0	5.0	5.0	3.0	3.0	6.0	3.0	10.0	4.0	6.0	4.0	3.0	6.0	5.0	3.0	2.0	4.0	5.0	3.0	7.0	

Greylag Goose (<em class="sci">Anser anser</em>)	0.3333333333333333	0.5714285714285714	0.8333333333333334	0.8	0.6	0.6666666666666666	0.75	0.3333333333333333	0.875	0.5555555555555556	0.6363636363636364	0.7272727272727273	1.0	0.6666666666666666	0.875	1.0	0.75	0.75	1.0	0.7142857142857143	0.6	0.0015	0.2	0.4	0.1111111111111111	0.0	0.25	0.3333333333333333	0.2	0.0	0.0	0.3333333333333333	0.0	0.16666666666666666	0.3333333333333333	0.0	0.25	0.16666666666666666	0.0015	0.3333333333333333	0.5	0.4	0.3333333333333333	1.0	0.75	0.2	0.6666666666666666	0.5714285714285714	
Barnacle Goose (<em class="sci">Branta leucopsis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.25	0.0	0.0	0.0	1.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0015	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.6666666666666666	1.0	1.0	0.8	0.8	0.6666666666666666	0.875	0.6666666666666666	1.0	0.8888888888888888	1.0	1.0	1.0	0.6666666666666666	0.75	1.0	1.0	1.0	1.0	0.8571428571428571	0.8	0.0015	0.8	1.0	0.7777777777777778	1.0	0.875	0.8333333333333334	0.6	0.8	0.6	1.0	1.0	1.0	1.0	0.7	1.0	0.8333333333333334	0.75	1.0	0.6666666666666666	0.8	1.0	1.0	0.75	0.8	0.3333333333333333	1.0	
Greylag Goose (Domestic type) x Canada Goose (hybrid) (<em class="sci">Anser anser (Domestic type) x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.125	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.6666666666666666	0.8571428571428571	0.8333333333333334	1.0	0.8	0.6666666666666666	0.875	0.3333333333333333	0.875	1.0	0.9090909090909091	1.0	1.0	0.7777777777777778	0.625	1.0	1.0	0.75	0.8	1.0	0.8	0.0	0.8	1.0	0.6666666666666666	1.0	1.0	0.6666666666666666	1.0	0.8	0.8	1.0	0.6666666666666666	1.0	1.0	0.9	1.0	1.0	0.75	1.0	0.6666666666666666	0.8	1.0	1.0	1.0	1.0	1.0	1.0	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Whooper Swan (<em class="sci">Cygnus cygnus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Egyptian Goose (<em class="sci">Alopochen aegyptiaca</em>)	0.16666666666666666	0.42857142857142855	0.3333333333333333	0.6	0.6	0.3333333333333333	0.125	0.0	0.125	0.0	0.2727272727272727	0.09090909090909091	0.4	0.1111111111111111	0.375	0.1111111111111111	0.75	0.25	0.6	0.7142857142857143	0.2	1.0	0.0	0.2	0.3333333333333333	0.0	0.125	0.0	0.0	0.2	0.2	0.0	0.0	0.3333333333333333	0.3333333333333333	0.4	0.25	0.16666666666666666	0.25	0.0015	0.16666666666666666	0.6	0.0	0.5	0.5	0.8	0.6666666666666666	0.7142857142857143	
Common Shelduck (<em class="sci">Tadorna tadorna</em>)	0.16666666666666666	0.42857142857142855	0.5	0.2	0.4	0.3333333333333333	0.625	0.3333333333333333	0.25	0.1111111111111111	0.2727272727272727	0.09090909090909091	0.4	0.4444444444444444	0.25	0.4444444444444444	0.25	0.0	0.2	0.2857142857142857	0.2	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.2	0.3333333333333333	0.0	0.5	0.4	0.0	0.14285714285714285	
Mandarin Duck (<em class="sci">Aix galericulata</em>)	0.16666666666666666	0.0	0.16666666666666666	0.0	0.0	0.0	0.125	0.0	0.125	0.1111111111111111	0.18181818181818182	0.2727272727272727	0.2	0.2222222222222222	0.125	0.0	0.25	0.0	0.2	0.14285714285714285	0.2	0.0	0.2	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.3333333333333333	0.14285714285714285	
Gadwall (<em class="sci">Anas strepera</em>)	0.6666666666666666	1.0	1.0	0.8	1.0	0.6666666666666666	0.875	0.6666666666666666	0.875	0.7777777777777778	0.5454545454545454	0.9090909090909091	1.0	0.5555555555555556	0.75	0.7777777777777778	0.875	0.75	0.8	1.0	0.8	0.0015	0.8	0.6	0.3333333333333333	0.0	0.375	0.5	0.8	0.6	0.8	1.0	1.0	1.0	1.0	0.9	1.0	1.0	1.0	0.6666666666666666	0.6666666666666666	1.0	1.0	1.0	0.75	0.6	1.0	1.0	
Eurasian Wigeon (<em class="sci">Anas penelope</em>)	0.6666666666666666	1.0	1.0	1.0	0.8	0.3333333333333333	1.0	0.6666666666666666	1.0	0.8888888888888888	0.8181818181818182	1.0	0.8	0.4444444444444444	0.5	0.4444444444444444	0.625	0.25	0.2	0.42857142857142855	0.0	0.0	0.2	0.0	0.0	0.0	0.125	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666	1.0	1.0	1.0	0.75	1.0	0.8333333333333334	0.6	1.0	1.0	1.0	0.8	1.0	1.0	
